도시별,지역별,구,동,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05
도시대기,서울,중구,중구,31.0,33.0,32.0,28.0,23.0,20.0
도시대기,서울,종로구,종로구,32.0,31.0,29.0,25.0,21.0,19.0
도시대기,서울,중랑구,중랑구,23.0,22.0,23.0,24.0,19.0,18.0
도시대기,서울,동대문구,동대문구,27.0,26.0,25.0,20.0,17.0,15.0
도시대기,서울,은평구,은평구,24.0,24.0,26.0,24.0,20.0,20.0
도시대기,서울,마포구,마포구,28.0,31.0,28.0,25.0,20.0,17.0
도시대기,서울,영등포구,영등포구,25.0,29.0,27.0,25.0,19.0,16.0
도시대기,서울,동작구,동작구,32.0,32.0,31.0,28.0,23.0,20.0
도시대기,서울,관악구,관악구,27.0,28.0,27.0,23.0,18.0,17.0
도시대기,서울,강남구,강남구,28.0,28.0,25.0,26.0,21.0,19.0
도시대기,서울,금천구,금천구,31.0,33.0,29.0,26.0,21.0,18.0
도시대기,서울,강동구,강동구,36.0,33.0,32.0,26.0,22.0,19.0
도시대기,서울,강북구,강북구,31.0,30.0,29.0,25.0,21.0,19.0
도시대기,서울,성북구,성북구,27.0,27.0,27.0,23.0,19.0,18.0
도시대기,서울,용산구,용산구,30.0,29.0,27.0,23.0,20.0,18.0
도시대기,서울,광진구,광진구,23.0,23.0,27.0,24.0,20.0,20.0
도시대기,서울,성동구,성동구,27.0,29.0,27.0,25.0,20.0,19.0
도시대기,서울,도봉구,도봉구,25.0,25.0,28.0,23.0,19.0,19.0
도시대기,서울,서대문구,서대문구,21.0,25.0,29.0,27.0,21.0,22.0
도시대기,서울,구로구,구로구,28.0,29.0,30.0,27.0,22.0,25.0
도시대기,서울,서초구,서초구,30.0,29.0,29.0,29.0,24.0,26.0
도시대기,서울,강서구,강서구,30.0,29.0,27.0,24.0,20.0,18.0
도시대기,서울,송파구,송파구,22.0,28.0,28.0,24.0,20.0,17.0
도시대기,서울,양천구,양천구,32.0,33.0,30.0,27.0,21.0,17.0
도시대기,서울,노원구,노원구,32.0,32.0,31.0,26.0,22.0,17.0
